iter	Logloss
0	0.6608073658
1	0.6362094623
2	0.610369856
3	0.5890950945
4	0.5733135981
5	0.5574434813
6	0.5397660393
7	0.5285508795
8	0.5165084575
9	0.5060088003
10	0.4969047892
11	0.4875788776
12	0.4792536922
13	0.4726708265
14	0.4679810497
15	0.4606152637
16	0.4541781204
17	0.4500652656
18	0.446507019
19	0.4415591889
20	0.4379853258
21	0.4345731824
22	0.4315529118
23	0.4278517361
24	0.4242046468
25	0.4218305886
26	0.4199950776
27	0.4170274651
28	0.4147312672
29	0.4127553347
30	0.4109031598
31	0.4097939116
32	0.4078954268
33	0.4066924479
34	0.405939364
35	0.4038676375
36	0.4020810075
37	0.4001801421
38	0.3987463436
39	0.3979705016
40	0.3974200197
41	0.3968206886
42	0.3954175518
43	0.394227777
44	0.3931864861
45	0.3928819325
46	0.3921955679
47	0.3913094581
48	0.3905218085
49	0.3901317132
50	0.3895927532
51	0.3893640285
52	0.3884839177
53	0.3878663356
54	0.3873425161
55	0.3867212838
56	0.3860519324
57	0.3854988795
58	0.3852808197
59	0.3846328299
60	0.3837577659
61	0.3831930006
62	0.3824420117
63	0.3815401901
64	0.3811028962
65	0.3803438768
66	0.3794363101
67	0.3788743063
68	0.378211303
69	0.377744744
70	0.3770909456
71	0.3761398305
72	0.3759594788
73	0.3755693836
74	0.3748724493
75	0.3744127146
76	0.3736029098
77	0.3732178296
78	0.3729120381
79	0.3725828218
80	0.372444876
81	0.3720822365
82	0.3717500049
83	0.3711671155
84	0.3706540879
85	0.3702313947
86	0.3700027653
87	0.3695407769
88	0.3694181937
89	0.3692082913
90	0.3687717592
91	0.3683904878
92	0.3679469727
93	0.3678877442
94	0.3676945693
95	0.3674883489
96	0.3671681153
97	0.3668969213
98	0.366858737
99	0.3664721967
100	0.366332029
101	0.3657993538
102	0.3656859437
103	0.3656232237
104	0.3648785829
105	0.3648427792
106	0.3644352582
107	0.3639810146
108	0.3638165017
109	0.3636270722
110	0.3634424356
111	0.3630391996
112	0.3627547062
113	0.3624061915
114	0.3620206986
115	0.3619613432
116	0.3617052261
117	0.361409433
118	0.3610062287
119	0.3607734094
120	0.3606797739
121	0.3605002475
122	0.360366555
123	0.3600328315
124	0.3598700961
125	0.3598418467
126	0.3595630984
127	0.3593221534
128	0.359032518
129	0.3587671326
130	0.3584562625
131	0.3582938763
132	0.3578995594
133	0.3574170665
134	0.3570567124
135	0.3568970241
136	0.3567549837
137	0.356728861
138	0.3565240054
139	0.3559344823
140	0.3555385784
141	0.3551876831
142	0.3546854791
143	0.3545879077
144	0.3544102858
145	0.354303319
146	0.3541020502
147	0.3536323488
148	0.3534468234
149	0.3532786286
150	0.3528622519
151	0.3527426205
152	0.3525642686
153	0.3520710155
154	0.3519673498
155	0.3516992347
156	0.3513932527
157	0.3512525137
158	0.3512180431
159	0.3508827326
160	0.3505368841
161	0.3503469467
162	0.3500652148
163	0.3499924965
164	0.3497462825
165	0.3496018616
166	0.3495175578
167	0.3490976896
168	0.3490173535
169	0.348746096
170	0.3485137529
171	0.3481980582
172	0.3480065338
173	0.3479794588
174	0.3477454969
175	0.3476915374
176	0.3472757955
177	0.3471712728
178	0.3469999674
179	0.3469197899
180	0.3466488499
181	0.3464996361
182	0.346350327
183	0.3459424569
184	0.3458399973
185	0.3457001471
186	0.3452467605
187	0.3450043555
188	0.3448142594
189	0.3446434618
190	0.3444393363
191	0.3443978192
192	0.3438343871
193	0.3433370077
194	0.3431458641
195	0.3430594655
196	0.3430034746
197	0.3428957778
198	0.3425751951
199	0.3424258543
200	0.341983577
201	0.3417192073
202	0.3415574241
203	0.3412646463
204	0.3408737893
205	0.3406885813
206	0.3405149905
207	0.3400124691
208	0.3395577811
209	0.3391172814
210	0.3389044271
211	0.3385549919
212	0.3384708786
213	0.3384006995
214	0.3377267774
215	0.3375022742
216	0.3369826762
217	0.3367602045
218	0.3365755996
219	0.3363903599
220	0.3362475577
221	0.3361026606
222	0.335967635
223	0.3358552088
224	0.3356183585
225	0.3355666208
226	0.3351900154
227	0.3349070456
228	0.3347280588
229	0.3346156962
230	0.3345513574
231	0.3342745136
232	0.3339987172
233	0.3339538038
234	0.3337718334
235	0.333381516
236	0.3331344451
237	0.3329645362
238	0.3328412229
239	0.332652206
240	0.3323138166
241	0.3319978363
242	0.3317907906
243	0.3314856656
244	0.3312924272
245	0.3310469433
246	0.3309861596
247	0.3308128862
248	0.3304881771
